name,longitude,latitude,prov,key,lifeStage,continent,stateProvince,year,species
"Phoenicopterus ruber Linnaeus, 1758",36.124583,-0.374583,gbif,3454089083,NA,AFRICA,Kenya,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",36.29125,-1.874583,gbif,3454099957,NA,AFRICA,Kenya,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",37.29125,-2.624583,gbif,3454106939,NA,AFRICA,Kenya,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454235853,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3454254844,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.79125,-29.207917,gbif,3454256069,NA,AFRICA,Free State,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",19.124583,-34.374583,gbif,3454256434,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3454269908,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3454269997,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",16.79125,-18.54125,gbif,3454321003,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.457917,-22.874583,gbif,3454335123,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.207917,-25.54125,gbif,3454342485,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.29125,-26.624583,gbif,3454352009,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454389967,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.707917,gbif,3454398092,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.957917,gbif,3454420478,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.124583,gbif,3454429877,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454435057,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.54125,-27.957917,gbif,3454454618,NA,AFRICA,Free State,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.624583,-30.874583,gbif,3454460070,NA,AFRICA,Northern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3454470246,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.124583,-34.124583,gbif,3454470286,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.124583,-26.374583,gbif,3454475907,NA,AFRICA,Gauteng,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.124583,-34.04125,gbif,3454476855,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.04125,gbif,3454482629,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454490670,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",20.457917,-34.457917,gbif,3454491535,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454515986,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.04125,gbif,3454522588,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3454536227,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3454561823,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.124583,-34.124583,gbif,3454561859,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-32.79125,gbif,3454562239,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3454571603,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3454574531,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.124583,gbif,3454578859,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.624583,-25.79125,gbif,3454583742,NA,AFRICA,Mpumalanga,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.54125,-22.54125,gbif,3454587717,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3454606036,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-32.957917,gbif,3454606670,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-32.79125,gbif,3454608276,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.374583,-34.124583,gbif,3454610071,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3454611366,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.707917,gbif,3454627904,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.124583,gbif,3454627967,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3454636721,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454637436,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3454638559,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.374583,-34.124583,gbif,3454651246,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.79125,-28.54125,gbif,3454654883,NA,AFRICA,KwaZulu-Natal,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.124583,gbif,3454660040,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.54125,-22.624583,gbif,3454697612,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3454727290,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-32.957917,gbif,3454729420,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.374583,-26.124583,gbif,3454729457,NA,AFRICA,Gauteng,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.04125,-26.54125,gbif,3454741977,NA,AFRICA,Mpumalanga,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.79125,-26.874583,gbif,3454742943,NA,AFRICA,Free State,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.207917,-25.54125,gbif,3454743064,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.957917,-32.957917,gbif,3454751634,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.874583,-26.874583,gbif,3454754250,NA,AFRICA,Free State,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3454756864,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.124583,gbif,3454764368,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3454780400,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.54125,-22.707917,gbif,3454783536,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3454790476,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.04125,gbif,3454796313,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.207917,-25.54125,gbif,3454817650,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.79125,-33.707917,gbif,3454835382,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.207917,-25.54125,gbif,3454853170,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.457917,-22.957917,gbif,3454855169,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.54125,-22.707917,gbif,3454857090,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3454858087,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3454860420,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.957917,-26.54125,gbif,3454882103,NA,AFRICA,Mpumalanga,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.457917,-27.207917,gbif,3454882181,NA,AFRICA,Free State,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.124583,gbif,3454885407,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.29125,-32.624583,gbif,3454885706,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.79125,-33.707917,gbif,3454890396,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.207917,-26.957917,gbif,3454896660,NA,AFRICA,Mpumalanga,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.124583,gbif,3454897884,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3454903059,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",14.374583,-22.29125,gbif,3454909311,NA,AFRICA,Namibia,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3454909579,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.79125,-34.04125,gbif,3454911166,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.04125,gbif,3454914480,NA,AFRICA,Eastern Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.301995,24.656392,gbif,3455805468,NA,NA,Florida,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.303467,24.656281,gbif,3456171961,NA,NA,Florida,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-61.454248,10.595704,gbif,3456193718,NA,NA,San Juan-Laventille,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.837712,21.321434,gbif,3456245008,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.880772,21.28033,gbif,3456251988,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.732747,21.312263,gbif,3456323744,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.32818,21.26857,gbif,3456466700,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-88.800986,21.280672,gbif,3456749034,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-88.197609,21.488727,gbif,3456801276,Adult,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.878532,21.216144,gbif,3457014669,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.9581,21.321897,gbif,3457128840,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-87.800316,21.491796,gbif,3457169788,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.865777,21.395987,gbif,3457192648,NA,NA,Yucatán,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3457340331,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.624583,-33.29125,gbif,3457380305,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.207917,-25.54125,gbif,3457426332,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.29125,-32.124583,gbif,3457446329,NA,AFRICA,Western Cape,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.124583,-27.874583,gbif,3457449314,NA,AFRICA,North West,2022,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.545779,24.613678,gbif,3018005201,Adult,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.570461,24.603399,gbif,3018123935,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.543187,24.624563,gbif,3018126043,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-81.570589,24.601819,gbif,3031709165,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-86.819051,21.392567,gbif,3031760316,NA,NA,Quintana Roo,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.621628,21.227889,gbif,3032152147,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-84.149017,30.098868,gbif,3039247067,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-87.950752,21.718937,gbif,3044922926,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.930922,21.312167,gbif,3067791887,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.505325,21.265639,gbif,3067935882,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.465607,21.308993,gbif,3067989865,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.833803,21.335793,gbif,3068045650,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.586645,21.210407,gbif,3068132259,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-84.148789,30.092989,gbif,3070419460,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076362739,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.124583,-28.79125,gbif,3076362858,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.457917,-27.29125,gbif,3076364773,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.29125,-26.124583,gbif,3076366894,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.624583,-33.29125,gbif,3076367006,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076367011,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3076368061,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076368079,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.54125,-32.207917,gbif,3076370793,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
